date,region,disease,cases,temperature,humidity,rainfall,year,month
2020-04-10,Delhi,Dengue,73,22.7,61.7,1.3,2020,4
2020-04-11,Delhi,Dengue,69,22.6,64.1,15.5,2020,4
2020-04-12,Delhi,Dengue,72,21.2,56.6,0.7,2020,4
2020-04-13,Delhi,Dengue,60,18.1,45.6,5.6,2020,4
2020-04-14,Delhi,Dengue,66,24.2,55.2,8.9,2020,4
2020-04-15,Delhi,Dengue,75,26.0,56.9,1.7,2020,4
2020-04-16,Delhi,Dengue,69,26.1,58.2,4.7,2020,4
2020-04-17,Delhi,Dengue,67,17.6,50.4,5.9,2020,4
2020-04-18,Delhi,Dengue,74,27.2,46.4,0.4,2020,4
2020-04-19,Delhi,Dengue,64,23.4,56.5,2.6,2020,4
2020-04-20,Delhi,Dengue,74,20.2,53.2,5.6,2020,4
2020-04-21,Delhi,Dengue,66,23.3,56.0,6.2,2020,4
2020-04-22,Delhi,Dengue,71,26.0,54.8,13.6,2020,4
2020-04-23,Delhi,Dengue,75,21.0,66.4,0.3,2020,4
2020-04-24,Delhi,Dengue,69,23.0,73.1,0.2,2020,4
2020-04-25,Delhi,Dengue,70,22.5,66.1,1.5,2020,4
2020-04-26,Delhi,Dengue,71,21.9,60.0,4.4,2020,4
2020-04-27,Delhi,Dengue,62,15.8,48.6,0.2,2020,4
2020-04-28,Delhi,Dengue,68,27.8,66.3,1.8,2020,4
2020-04-29,Delhi,Dengue,71,20.8,55.2,0.4,2020,4
2020-04-30,Delhi,Dengue,73,21.0,66.0,2.8,2020,4
2020-05-01,Delhi,Dengue,105,31.3,59.3,9.2,2020,5
2020-05-02,Delhi,Dengue,105,25.2,57.0,2.9,2020,5
2020-05-03,Delhi,Dengue,101,24.8,50.7,2.6,2020,5
2020-05-04,Delhi,Dengue,108,25.5,66.2,0.4,2020,5
2020-05-05,Delhi,Dengue,103,24.9,55.0,2.4,2020,5
2020-05-06,Delhi,Dengue,95,22.5,41.6,16.2,2020,5
2020-05-07,Delhi,Dengue,111,26.2,51.7,2.1,2020,5
2020-05-08,Delhi,Dengue,90,21.9,76.9,10.7,2020,5
2020-05-09,Delhi,Dengue,102,24.9,45.0,4.1,2020,5
2020-05-10,Delhi,Dengue,105,23.2,63.8,0.9,2020,5
2020-05-11,Delhi,Dengue,108,21.4,64.7,2.4,2020,5
2020-05-12,Delhi,Dengue,111,22.9,68.7,2.6,2020,5
2020-05-13,Delhi,Dengue,112,23.9,59.6,6.2,2020,5
2020-05-14,Delhi,Dengue,103,20.7,53.9,0.2,2020,5
2020-05-15,Delhi,Dengue,97,25.4,53.2,7.4,2020,5
2020-05-16,Delhi,Dengue,93,21.1,44.0,13.4,2020,5
2020-05-17,Delhi,Dengue,106,23.0,55.5,2.4,2020,5
2020-05-18,Delhi,Dengue,106,20.5,63.2,2.3,2020,5
2020-05-19,Delhi,Dengue,106,25.2,59.9,4.3,2020,5
2020-05-20,Delhi,Dengue,104,22.6,51.5,7.8,2020,5
2020-05-21,Delhi,Dengue,98,20.8,56.9,10.4,2020,5
2020-05-22,Delhi,Dengue,105,21.2,64.7,2.3,2020,5
2020-05-23,Delhi,Dengue,104,21.5,61.9,1.2,2020,5
2020-05-24,Delhi,Dengue,97,23.3,59.6,6.6,2020,5
2020-05-25,Delhi,Dengue,105,19.1,68.2,5.8,2020,5
2020-05-26,Delhi,Dengue,103,24.6,38.2,17.6,2020,5
2020-05-27,Delhi,Dengue,103,20.3,63.2,3.6,2020,5
2020-05-28,Delhi,Dengue,99,21.0,59.4,2.0,2020,5
2020-05-29,Delhi,Dengue,98,24.2,72.1,3.6,2020,5
2020-05-30,Delhi,Dengue,102,18.5,47.3,15.7,2020,5
2020-05-31,Delhi,Dengue,102,25.9,59.4,6.2,2020,5
2020-06-01,Delhi,Dengue,142,23.3,67.7,9.5,2020,6
2020-06-02,Delhi,Dengue,136,26.6,63.6,0.2,2020,6
2020-06-03,Delhi,Dengue,131,26.6,49.2,4.5,2020,6
2020-06-04,Delhi,Dengue,132,26.3,51.0,2.2,2020,6
2020-06-05,Delhi,Dengue,143,25.7,52.6,0.9,2020,6
2020-06-06,Delhi,Dengue,137,25.1,59.7,4.0,2020,6
2020-06-07,Delhi,Dengue,142,23.4,54.2,9.6,2020,6
2020-06-08,Delhi,Dengue,134,17.8,70.4,12.2,2020,6
2020-06-09,Delhi,Dengue,137,19.2,55.0,2.6,2020,6
2020-06-10,Delhi,Dengue,139,21.7,62.1,0.1,2020,6
2020-06-11,Delhi,Dengue,132,27.1,73.9,10.3,2020,6
2020-06-12,Delhi,Dengue,138,24.6,62.4,13.5,2020,6
2020-06-13,Delhi,Dengue,140,23.8,72.3,1.4,2020,6
2020-06-14,Delhi,Dengue,148,21.7,62.2,0.2,2020,6
2020-06-15,Delhi,Dengue,135,25.5,67.2,1.1,2020,6
2020-06-16,Delhi,Dengue,131,24.9,50.3,4.6,2020,6
2020-06-17,Delhi,Dengue,139,19.9,44.6,11.6,2020,6
2020-06-18,Delhi,Dengue,137,17.3,63.8,4.7,2020,6
2020-06-19,Delhi,Dengue,136,21.0,64.2,0.7,2020,6
2020-06-20,Delhi,Dengue,151,26.3,60.6,1.9,2020,6
2020-06-21,Delhi,Dengue,144,26.9,67.5,1.9,2020,6
2020-06-22,Delhi,Dengue,137,23.6,63.8,0.5,2020,6
2020-06-23,Delhi,Dengue,137,23.7,60.0,6.3,2020,6
2020-06-24,Delhi,Dengue,144,18.2,50.9,0.4,2020,6
2020-06-25,Delhi,Dengue,128,22.1,50.2,1.6,2020,6
2020-06-26,Delhi,Dengue,145,24.3,49.3,1.0,2020,6
2020-06-27,Delhi,Dengue,145,22.1,50.2,0.4,2020,6
2020-06-28,Delhi,Dengue,138,26.9,57.4,0.4,2020,6
2020-06-29,Delhi,Dengue,134,25.0,55.8,2.8,2020,6
2020-06-30,Delhi,Dengue,132,27.1,54.7,2.5,2020,6
2020-07-01,Delhi,Dengue,174,29.9,49.3,23.2,2020,7
2020-07-02,Delhi,Dengue,170,30.9,69.8,4.0,2020,7
2020-07-03,Delhi,Dengue,169,23.1,71.1,1.4,2020,7
2020-07-04,Delhi,Dengue,177,25.9,69.7,0.3,2020,7
2020-07-05,Delhi,Dengue,178,28.9,54.5,10.0,2020,7
2020-07-06,Delhi,Dengue,180,30.1,59.3,40.0,2020,7
2020-07-07,Delhi,Dengue,175,29.3,81.9,0.7,2020,7
2020-07-08,Delhi,Dengue,173,23.8,67.6,20.0,2020,7
2020-07-09,Delhi,Dengue,169,32.6,81.8,6.6,2020,7
2020-07-10,Delhi,Dengue,170,29.1,72.6,10.1,2020,7
2020-07-11,Delhi,Dengue,181,28.4,73.4,2.2,2020,7
2020-07-12,Delhi,Dengue,176,21.1,68.2,2.5,2020,7
2020-07-13,Delhi,Dengue,168,31.5,81.3,4.0,2020,7
2020-07-14,Delhi,Dengue,176,30.6,67.6,2.6,2020,7
2020-07-15,Delhi,Dengue,169,27.7,68.0,14.3,2020,7
2020-07-16,Delhi,Dengue,174,26.3,81.9,1.9,2020,7
2020-07-17,Delhi,Dengue,175,27.2,67.9,11.5,2020,7
2020-07-18,Delhi,Dengue,169,26.0,61.5,14.3,2020,7
2020-07-19,Delhi,Dengue,177,27.7,53.2,0.4,2020,7
2020-07-20,Delhi,Dengue,179,29.7,75.7,0.8,2020,7
2020-07-21,Delhi,Dengue,170,23.2,70.3,11.7,2020,7
2020-07-22,Delhi,Dengue,181,29.8,66.4,14.3,2020,7
2020-07-23,Delhi,Dengue,173,27.2,65.9,11.8,2020,7
2020-07-24,Delhi,Dengue,176,25.0,62.5,11.2,2020,7
2020-07-25,Delhi,Dengue,172,27.2,69.7,14.4,2020,7
2020-07-26,Delhi,Dengue,172,30.8,58.2,32.6,2020,7
2020-07-27,Delhi,Dengue,165,26.6,67.7,11.2,2020,7
2020-07-28,Delhi,Dengue,181,18.5,70.7,3.3,2020,7
2020-07-29,Delhi,Dengue,169,25.4,61.5,7.2,2020,7
2020-07-30,Delhi,Dengue,173,30.8,82.2,0.6,2020,7
2020-07-31,Delhi,Dengue,184,26.6,81.5,19.4,2020,7
2020-08-01,Delhi,Dengue,175,29.1,85.0,1.8,2020,8
2020-08-02,Delhi,Dengue,171,30.9,64.6,17.3,2020,8
2020-08-03,Delhi,Dengue,179,28.1,69.7,2.2,2020,8
2020-08-04,Delhi,Dengue,176,29.3,52.0,2.2,2020,8
2020-08-05,Delhi,Dengue,167,27.8,68.2,21.4,2020,8
2020-08-06,Delhi,Dengue,179,24.0,64.2,17.5,2020,8
2020-08-07,Delhi,Dengue,174,28.8,59.4,16.9,2020,8
2020-08-08,Delhi,Dengue,175,22.3,51.8,9.3,2020,8
2020-08-09,Delhi,Dengue,173,27.7,67.3,2.1,2020,8
2020-08-10,Delhi,Dengue,179,24.7,58.1,1.1,2020,8
2020-08-11,Delhi,Dengue,176,31.7,64.0,0.9,2020,8
2020-08-12,Delhi,Dengue,166,25.5,63.0,3.8,2020,8
2020-08-13,Delhi,Dengue,175,27.1,75.9,3.9,2020,8
2020-08-14,Delhi,Dengue,170,29.4,55.2,7.7,2020,8
2020-08-15,Delhi,Dengue,175,27.6,80.2,13.1,2020,8
2020-08-16,Delhi,Dengue,185,27.3,57.3,1.5,2020,8
2020-08-17,Delhi,Dengue,176,29.7,62.5,7.8,2020,8
2020-08-18,Delhi,Dengue,180,32.3,71.7,7.4,2020,8
2020-08-19,Delhi,Dengue,165,27.0,60.6,25.5,2020,8
2020-08-20,Delhi,Dengue,172,27.5,82.6,3.3,2020,8
2020-08-21,Delhi,Dengue,177,27.3,68.1,0.3,2020,8
2020-08-22,Delhi,Dengue,177,31.5,80.7,1.7,2020,8
2020-08-23,Delhi,Dengue,177,24.5,66.8,0.8,2020,8
2020-08-24,Delhi,Dengue,179,28.6,74.6,5.8,2020,8
2020-08-25,Delhi,Dengue,181,28.9,64.7,0.2,2020,8
2020-08-26,Delhi,Dengue,160,29.1,38.3,12.1,2020,8
2020-08-27,Delhi,Dengue,177,29.4,58.2,1.2,2020,8
2020-08-28,Delhi,Dengue,181,26.5,85.0,4.5,2020,8
2020-08-29,Delhi,Dengue,177,32.9,68.5,11.0,2020,8
2020-08-30,Delhi,Dengue,174,27.9,56.6,11.0,2020,8
2020-08-31,Delhi,Dengue,171,30.8,67.8,2.2,2020,8
2020-09-01,Delhi,Dengue,174,30.2,72.4,4.9,2020,9
2020-09-02,Delhi,Dengue,169,32.8,64.2,9.1,2020,9
2020-09-03,Delhi,Dengue,177,30.9,55.3,3.0,2020,9
2020-09-04,Delhi,Dengue,178,30.6,72.6,7.2,2020,9
2020-09-05,Delhi,Dengue,176,28.6,63.6,1.5,2020,9
2020-09-06,Delhi,Dengue,182,34.9,78.0,8.6,2020,9
2020-09-07,Delhi,Dengue,176,31.8,68.5,24.6,2020,9
2020-09-08,Delhi,Dengue,179,29.3,61.7,3.2,2020,9
2020-09-09,Delhi,Dengue,178,29.5,70.2,8.0,2020,9
2020-09-10,Delhi,Dengue,173,31.8,70.5,5.1,2020,9
2020-09-11,Delhi,Dengue,182,28.0,54.3,3.4,2020,9
2020-09-12,Delhi,Dengue,169,29.7,65.3,3.7,2020,9
2020-09-13,Delhi,Dengue,178,30.5,70.0,5.5,2020,9
2020-09-14,Delhi,Dengue,178,23.2,64.6,9.9,2020,9
2020-09-15,Delhi,Dengue,175,29.5,75.9,10.7,2020,9
2020-09-16,Delhi,Dengue,176,28.0,71.4,3.7,2020,9
2020-09-17,Delhi,Dengue,174,32.5,63.0,29.3,2020,9
2020-09-18,Delhi,Dengue,178,26.6,75.3,0.7,2020,9
2020-09-19,Delhi,Dengue,175,27.2,60.6,22.4,2020,9
2020-09-20,Delhi,Dengue,177,26.6,71.0,17.1,2020,9
2020-09-21,Delhi,Dengue,173,29.8,85.0,7.2,2020,9
2020-09-22,Delhi,Dengue,182,29.9,70.8,8.4,2020,9
2020-09-23,Delhi,Dengue,177,29.0,79.1,30.8,2020,9
2020-09-24,Delhi,Dengue,180,27.6,67.0,5.0,2020,9
2020-09-25,Delhi,Dengue,177,33.8,66.9,10.6,2020,9
2020-09-26,Delhi,Dengue,169,28.8,54.8,4.6,2020,9
2020-09-27,Delhi,Dengue,176,33.5,85.0,6.7,2020,9
2020-09-28,Delhi,Dengue,182,30.2,66.3,14.4,2020,9
2020-09-29,Delhi,Dengue,175,29.8,64.2,1.7,2020,9
2020-09-30,Delhi,Dengue,167,31.5,65.3,4.2,2020,9
2020-10-01,Delhi,Dengue,175,33.4,68.9,18.8,2020,10
2020-10-02,Delhi,Dengue,182,32.5,75.3,3.9,2020,10
2020-10-03,Delhi,Dengue,180,32.8,72.3,2.3,2020,10
2020-10-04,Delhi,Dengue,169,33.1,56.7,11.8,2020,10
2020-10-05,Delhi,Dengue,181,33.5,79.4,29.6,2020,10
2020-10-06,Delhi,Dengue,169,30.3,68.3,30.4,2020,10
2020-10-07,Delhi,Dengue,180,29.9,70.3,1.7,2020,10
2020-10-08,Delhi,Dengue,177,31.0,61.5,17.5,2020,10
2020-10-09,Delhi,Dengue,174,30.2,81.7,2.2,2020,10
2020-10-10,Delhi,Dengue,173,24.7,60.3,7.2,2020,10
2020-10-11,Delhi,Dengue,171,35.1,66.2,13.7,2020,10
2020-10-12,Delhi,Dengue,175,31.1,66.8,14.5,2020,10
2020-10-13,Delhi,Dengue,183,24.0,51.5,2.8,2020,10
2020-10-14,Delhi,Dengue,175,33.1,71.3,2.4,2020,10
2020-10-15,Delhi,Dengue,180,34.1,69.0,10.1,2020,10
2020-10-16,Delhi,Dengue,172,33.1,68.4,10.5,2020,10
2020-10-17,Delhi,Dengue,182,23.6,56.2,1.7,2020,10
2020-10-18,Delhi,Dengue,173,30.2,55.4,8.7,2020,10
2020-10-19,Delhi,Dengue,170,38.4,81.9,0.7,2020,10
2020-10-20,Delhi,Dengue,173,27.6,52.2,2.0,2020,10
2020-10-21,Delhi,Dengue,170,30.7,54.7,4.4,2020,10
2020-10-22,Delhi,Dengue,175,32.1,70.8,2.9,2020,10
2020-10-23,Delhi,Dengue,179,28.6,72.6,0.0,2020,10
2020-10-24,Delhi,Dengue,168,30.1,70.4,5.3,2020,10
2020-10-25,Delhi,Dengue,174,35.6,75.6,34.1,2020,10
2020-10-26,Delhi,Dengue,178,36.8,83.2,3.1,2020,10
2020-10-27,Delhi,Dengue,170,35.5,59.0,1.8,2020,10
2020-10-28,Delhi,Dengue,172,32.3,66.7,11.4,2020,10
2020-10-29,Delhi,Dengue,171,28.9,60.5,4.5,2020,10
2020-10-30,Delhi,Dengue,176,33.7,63.6,40.0,2020,10
2020-10-31,Delhi,Dengue,171,23.0,56.5,6.0,2020,10
2020-11-01,Delhi,Dengue,128,28.9,68.1,4.3,2020,11
2020-11-02,Delhi,Dengue,146,33.7,63.8,1.1,2020,11
2020-11-03,Delhi,Dengue,142,34.7,52.9,4.0,2020,11
2020-11-04,Delhi,Dengue,142,30.9,48.5,1.4,2020,11
2020-11-05,Delhi,Dengue,140,33.5,51.2,0.5,2020,11
2020-11-06,Delhi,Dengue,142,34.4,69.9,1.2,2020,11
2020-11-07,Delhi,Dengue,134,37.6,53.3,0.9,2020,11
2020-11-08,Delhi,Dengue,140,31.3,43.0,2.2,2020,11
2020-11-09,Delhi,Dengue,132,35.4,69.6,4.1,2020,11
2020-11-10,Delhi,Dengue,141,30.3,52.5,3.9,2020,11
2020-11-11,Delhi,Dengue,139,37.7,53.6,5.2,2020,11
2020-11-12,Delhi,Dengue,140,34.9,53.9,6.8,2020,11
2020-11-13,Delhi,Dengue,139,30.0,62.8,0.4,2020,11
2020-11-14,Delhi,Dengue,142,37.1,69.1,2.6,2020,11
2020-11-15,Delhi,Dengue,141,30.6,57.7,0.1,2020,11
2020-11-16,Delhi,Dengue,148,33.6,55.8,5.3,2020,11
2020-11-17,Delhi,Dengue,129,26.5,63.9,0.1,2020,11
2020-11-18,Delhi,Dengue,141,28.5,57.3,5.0,2020,11
2020-11-19,Delhi,Dengue,144,33.0,54.0,16.1,2020,11
2020-11-20,Delhi,Dengue,129,33.3,64.3,21.8,2020,11
2020-11-21,Delhi,Dengue,136,29.0,49.8,1.8,2020,11
2020-11-22,Delhi,Dengue,129,34.3,63.5,4.8,2020,11
2020-11-23,Delhi,Dengue,127,29.5,67.4,10.3,2020,11
2020-11-24,Delhi,Dengue,138,29.0,63.9,7.3,2020,11
2020-11-25,Delhi,Dengue,142,34.2,72.2,0.1,2020,11
2020-11-26,Delhi,Dengue,141,28.0,67.0,1.1,2020,11
2020-11-27,Delhi,Dengue,137,32.4,45.0,0.2,2020,11
2020-11-28,Delhi,Dengue,144,33.4,44.8,2.2,2020,11
2020-11-29,Delhi,Dengue,143,26.9,48.9,11.6,2020,11
2020-11-30,Delhi,Dengue,141,33.7,72.4,0.5,2020,11
2020-12-01,Delhi,Dengue,108,42.0,55.8,2.6,2020,12
2020-12-02,Delhi,Dengue,107,35.3,53.3,0.5,2020,12
2020-12-03,Delhi,Dengue,101,36.7,56.6,0.7,2020,12
2020-12-04,Delhi,Dengue,107,30.1,60.3,4.3,2020,12
2020-12-05,Delhi,Dengue,107,32.9,53.4,8.5,2020,12
2020-12-06,Delhi,Dengue,103,32.9,64.8,10.0,2020,12
2020-12-07,Delhi,Dengue,109,32.9,60.5,3.0,2020,12
2020-12-08,Delhi,Dengue,111,37.7,65.2,8.6,2020,12
2020-12-09,Delhi,Dengue,109,35.2,44.7,2.3,2020,12
2020-12-10,Delhi,Dengue,106,35.7,58.9,6.7,2020,12
2020-12-11,Delhi,Dengue,112,37.7,34.6,3.9,2020,12
2020-12-12,Delhi,Dengue,104,28.7,58.3,1.1,2020,12
2020-12-13,Delhi,Dengue,99,35.0,50.2,16.4,2020,12
2020-12-14,Delhi,Dengue,112,32.4,61.2,0.8,2020,12
2020-12-15,Delhi,Dengue,114,35.8,56.0,10.8,2020,12
2020-12-16,Delhi,Dengue,97,37.5,54.9,0.4,2020,12
2020-12-17,Delhi,Dengue,102,32.3,63.1,3.6,2020,12
2020-12-18,Delhi,Dengue,108,34.0,61.6,7.1,2020,12
2020-12-19,Delhi,Dengue,116,29.3,67.6,2.7,2020,12
2020-12-20,Delhi,Dengue,100,40.7,65.5,1.6,2020,12
2020-12-21,Delhi,Dengue,105,33.3,55.8,2.0,2020,12
2020-12-22,Delhi,Dengue,112,34.5,50.2,3.3,2020,12
2020-12-23,Delhi,Dengue,109,36.0,63.5,13.7,2020,12
2020-12-24,Delhi,Dengue,100,31.4,44.4,2.3,2020,12
2020-12-25,Delhi,Dengue,104,32.7,33.9,1.4,2020,12
2020-12-26,Delhi,Dengue,110,32.0,60.4,11.7,2020,12
2020-12-27,Delhi,Dengue,112,33.6,59.8,8.2,2020,12
2020-12-28,Delhi,Dengue,112,33.1,52.8,0.5,2020,12
2020-12-29,Delhi,Dengue,107,33.7,54.3,3.6,2020,12
2020-12-30,Delhi,Dengue,104,40.9,58.2,4.8,2020,12
2020-12-31,Delhi,Dengue,106,36.9,51.7,2.0,2020,12
2021-01-01,Delhi,Dengue,79,20.5,57.8,6.9,2021,1
2021-01-02,Delhi,Dengue,70,13.2,43.4,0.3,2021,1
2021-01-03,Delhi,Dengue,82,17.5,39.4,14.6,2021,1
2021-01-04,Delhi,Dengue,76,23.8,45.8,0.9,2021,1
2021-01-05,Delhi,Dengue,85,18.8,62.0,1.6,2021,1
2021-01-06,Delhi,Dengue,78,19.8,51.0,1.5,2021,1
2021-01-07,Delhi,Dengue,70,18.5,58.9,1.8,2021,1
2021-01-08,Delhi,Dengue,76,15.6,48.9,1.0,2021,1
2021-01-09,Delhi,Dengue,71,18.5,48.3,6.0,2021,1
2021-01-10,Delhi,Dengue,71,15.8,52.5,4.4,2021,1
2021-01-11,Delhi,Dengue,78,16.9,61.5,2.5,2021,1
2021-01-12,Delhi,Dengue,76,23.5,58.6,1.0,2021,1
2021-01-13,Delhi,Dengue,79,20.2,41.5,1.5,2021,1
2021-01-14,Delhi,Dengue,78,15.4,68.0,2.3,2021,1
2021-01-15,Delhi,Dengue,67,13.7,35.5,8.9,2021,1
2021-01-16,Delhi,Dengue,76,16.2,66.1,0.6,2021,1
2021-01-17,Delhi,Dengue,76,11.1,62.4,2.0,2021,1
2021-01-18,Delhi,Dengue,78,20.4,48.2,0.9,2021,1
2021-01-19,Delhi,Dengue,72,19.7,44.0,5.7,2021,1
2021-01-20,Delhi,Dengue,81,18.2,56.7,4.6,2021,1
2021-01-21,Delhi,Dengue,75,12.2,51.1,0.4,2021,1
